-Level: 1 Name: Root Item 1 PlannedStart:05.11.2018 0:00:00 PlannedEnd: 20.11.2018 0:00:00 Completed: 32 Was completition calculated: True
--Level: 2 Name: Sub Item 2 PlannedStart:05.11.2018 0:00:00 PlannedEnd: 20.11.2018 0:00:00 Completed: 27 Was completition calculated: True
---Level: 3 Name: Sub Item 3 PlannedStart:05.11.2018 0:00:00 PlannedEnd: 20.11.2018 0:00:00 Completed: 36 Was completition calculated: True
----Level: 4 Name: Sub Item 4 PlannedStart:05.11.2018 0:00:00 PlannedEnd: 30.11.2018 0:00:00 Completed: 31 Was completition calculated: True
-----Level: 5 Name: Sub Item 5 PlannedStart:10.11.2018 0:00:00 PlannedEnd: 30.11.2018 0:00:00 Completed: 35 Was completition calculated: True
------Level: 6 Name: Sub Item 6 PlannedStart:10.11.2018 0:00:00 PlannedEnd: 30.11.2018 0:00:00 Completed: 30 Was completition calculated: False
------Level: 6 Name: Sub Item 7 PlannedStart:10.11.2018 0:00:00 PlannedEnd: 30.11.2018 0:00:00 Completed: 35 Was completition calculated: False
------Level: 6 Name: Sub Item 8 PlannedStart:10.11.2018 0:00:00 PlannedEnd: 30.11.2018 0:00:00 Completed: 40 Was completition calculated: False
-----Level: 5 Name: Sub Item 9 PlannedStart:10.11.2018 0:00:00 PlannedEnd: 30.11.2018 0:00:00 Completed: 27 Was completition calculated: True
------Level: 6 Name: Sub Item 10 PlannedStart:15.11.2018 0:00:00 PlannedEnd: 05.12.2018 0:00:00 Completed: 50 Was completition calculated: False
------Level: 6 Name: Sub Item 11 PlannedStart:15.11.2018 0:00:00 PlannedEnd: 05.12.2018 0:00:00 Completed: 5 Was completition calculated: False
----Level: 4 Name: Sub Item 12 PlannedStart:15.11.2018 0:00:00 PlannedEnd: 05.12.2018 0:00:00 Completed: 10 Was completition calculated: False
----Level: 4 Name: Sub Item 20 PlannedStart:15.11.2018 0:00:00 PlannedEnd: 10.12.2018 0:00:00 Completed: 45 Was completition calculated: False
----Level: 4 Name: Sub Item 21 PlannedStart:15.11.2018 0:00:00 PlannedEnd: 10.12.2018 0:00:00 Completed: 61 Was completition calculated: True
